UsuarioID,TIPO_CLIENTE_BEME,SEGMENTO_BEME,NANO_SEGMENTO,MICRO_SEGMENTO,MODULO,ZONA,CTA_CTA_BIPERSONAL,CTA_CTA_UNIPERSONAL,CUENTA_PROVEEDOR,CUENTA_RUT,CUENTA_EMPRENDEDOR,CAJA_VECINA,CHEQ_MICROEMPRESA,CHEQ_OTRA,CTA_CTE_OTRA,LINEA_DE_CREDITO,TARJETA,EDAD,COMPORTAMIENTO_SBIF,COMPORTAMIENTO_BEME,SEXO,TIPO_PERSONA,TIPO_SOCIEDAD_CRITERIO_BEME,TRX_APP,TRX_BATCH,TRX_BECO,TRX_Buzonera,TRX_Caja,TRX_Caja_Vecina,TRX_Cajero_Automatico,TRX_Dispensadores,TRX_FALABELLA,TRX_Internet,TRX_Meson,TRX_MYPE,TRX_RedBanc,TRX_RedCompra,TRX_ServiEstado,Uso_Digital_3M,Uso_Web_3M,Uso_App_3M,Uso_Digital_Anual,Uso_Web_Anual,Uso_App_Anual,Con_Clave_Atm,Con_Clave_INET,Hab_BIPass,PERFIL_RIESGO,INF_COMERCIAL,GRP_PROPENSION,TIPO_CLIENTE,TIENE_PREAP,CANAL
11,Microempresas,Transporte,Segmento B,Segmento C,Region 3,Zona 2,0,0,0,0,1,0,1,1,1,1,0,56,Malo,Bueno,M,2,Cooperativas,95,58,52,27,65,25,98,32,86,2,10,40,50,82,19,0,0,0,0,0,1,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,NO,VENTA CENTRALIZADA
12,deudor comercial,Comercial,Segmento B,Segmento B,Region 1,Zona 1,1,0,1,1,1,0,1,0,0,1,0,42,Malo,Bueno,M,1,Sociedad,48,37,84,21,49,99,58,50,16,70,39,57,36,97,11,0,1,0,1,1,1,1,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
13,deudor no comercial,Comercial,Segmento A,Segmento C,Region 1,Zona 2,1,0,0,0,0,1,0,1,1,0,0,61,Malo,Bueno,F,1,Federacion,21,73,34,55,50,66,92,29,64,45,33,4,35,92,12,0,0,1,0,1,1,0,0,0,Excelente,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente Finaciado,SI,SALESFORCE -WEB
14,deudor comercial,Comercial,Segmento C,Segmento A,Region 3,Zona 1,1,0,0,1,0,0,1,1,1,1,0,30,Malo,Malo,M,2,SPA,87,91,5,6,87,4,72,48,90,43,56,38,55,42,4,1,1,1,1,0,1,1,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
15,Microempresas,Transporte,Segmento B,Segmento C,Region 1,Zona 3,1,1,1,1,0,1,1,0,0,1,0,35,Malo,Regular,F,2,Sindicatos,9,75,69,6,84,68,64,9,4,46,47,21,74,79,48,1,0,0,0,0,0,0,0,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,SI,SALESFORCE - CCL
16,deudor no comercial,Comercial,Segmento A,Segmento C,Region 3,Zona 1,1,1,1,0,0,0,1,1,1,1,0,20,Regular,Bueno,M,2,SPA,68,23,92,54,54,40,82,81,18,33,78,37,85,37,6,1,0,0,1,0,1,1,1,0,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,NO,RED SUCURSALES
17,deudor no comercial,Comercial,Segmento B,Segmento B,Region 1,Zona 1,1,0,1,1,1,0,1,1,0,1,1,65,Bueno,Malo,F,1,Federacion,30,20,29,86,27,79,2,97,73,97,27,64,85,22,76,0,1,1,0,1,1,0,0,0,Malo,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,SALESFORCE - CCL
18,Microempresas,Comercial,Segmento B,Segmento C,Region 1,Zona 3,1,1,0,1,0,1,1,0,0,0,1,49,Regular,Bueno,F,1,SPA,15,10,51,79,89,67,55,97,53,91,4,9,87,35,11,0,1,1,0,1,1,0,0,0,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,
19,deudor no comercial,Comercial,Segmento B,Segmento A,Region 3,Zona 2,0,0,0,1,0,0,1,0,1,0,0,38,Regular,Malo,M,2,Federacion,45,15,61,50,14,7,14,53,64,67,56,86,13,90,34,1,0,0,1,1,0,1,1,0,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
20,deudor no comercial,Transporte,Segmento A,Segmento C,Region 2,Zona 3,0,1,0,0,0,1,1,0,1,1,0,70,Malo,Bueno,M,2,Sindicatos,40,16,94,53,85,41,61,71,13,91,95,77,84,92,90,0,0,0,1,1,1,1,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
21,Microempresas,Turismo,Segmento A,Segmento C,Region 2,Zona 2,0,0,0,0,1,0,1,0,0,1,1,48,Malo,Malo,F,2,SPA,8,62,16,24,31,90,94,65,96,89,73,7,40,16,95,0,1,0,0,0,0,1,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,SI,SALESFORCE - CCL
22,deudor no comercial,Transporte,Segmento B,Segmento A,Region 3,Zona 1,0,1,0,0,1,1,1,0,0,1,1,41,Bueno,Regular,M,2,Sociedad,93,24,86,0,20,74,23,94,75,19,39,73,87,34,18,1,0,1,0,1,1,0,1,0,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente Finaciado,NO,RED SUCURSALES
23,Microempresas,Turismo,Segmento A,Segmento C,Region 1,Zona 3,0,1,1,0,1,1,1,1,0,1,0,30,Bueno,Malo,M,1,Sociedad,0,9,21,4,42,56,65,90,85,7,62,28,60,14,60,0,0,0,0,1,1,1,0,0,Excelente,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
24,deudor no comercial,Turismo,Segmento B,Segmento C,Region 3,Zona 2,1,0,0,1,0,1,0,0,1,1,0,22,Regular,Malo,F,2,SPA,18,44,15,87,33,28,90,21,31,47,79,70,39,31,41,0,1,0,1,0,0,0,0,0,Excelente,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
25,deudor comercial,Transporte,Segmento A,Segmento B,Region 2,Zona 2,0,1,1,0,0,1,1,1,1,1,1,53,Malo,Malo,M,1,Sociedad,84,13,89,53,23,47,61,5,83,81,21,59,74,85,30,0,0,1,0,1,1,1,0,1,Excelente,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
26,Microempresas,Comercial,Segmento B,Segmento B,Region 1,Zona 3,1,0,1,1,0,1,0,1,1,1,1,27,Bueno,Bueno,M,1,SPA,80,40,31,16,76,39,15,24,25,15,48,46,65,31,15,1,1,1,1,1,0,0,1,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
27,deudor no comercial,Comercial,Segmento C,Segmento A,Region 2,Zona 1,1,1,1,0,1,0,0,0,0,1,1,65,Regular,Malo,M,1,SPA,91,41,65,7,93,81,11,5,22,10,27,65,26,84,83,0,0,0,1,1,1,1,0,0,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
28,Microempresas,Transporte,Segmento A,Segmento A,Region 1,Zona 2,0,1,1,0,1,1,1,0,1,0,1,24,Malo,Malo,F,1,Sindicatos,16,42,94,69,94,79,56,20,41,3,71,29,26,54,15,1,1,1,0,0,1,1,1,1,Malo,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
29,deudor comercial,Comercial,Segmento A,Segmento A,Region 1,Zona 3,1,0,0,0,1,0,1,1,0,0,1,39,Malo,Malo,M,2,Sindicatos,12,35,35,63,13,27,73,72,55,15,72,61,2,34,47,0,0,1,0,1,1,1,0,0,Malo,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
30,Microempresas,Transporte,Segmento B,Segmento A,Region 1,Zona 2,0,0,0,1,1,0,0,0,0,1,1,51,Regular,Regular,M,2,Cooperativas,37,71,17,35,76,35,90,54,68,18,3,6,17,60,23,0,1,1,1,1,0,1,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
31,deudor no comercial,Transporte,Segmento A,Segmento B,Region 1,Zona 1,1,1,1,1,1,0,1,1,0,1,0,50,Malo,Bueno,F,2,Federacion,17,12,32,96,40,57,95,46,76,84,18,0,1,24,92,0,1,0,0,1,1,0,0,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,VENTA CENTRALIZADA
32,Microempresas,Comercial,Segmento C,Segmento A,Region 1,Zona 3,0,1,0,1,1,0,0,0,1,0,1,60,Malo,Bueno,M,1,SPA,46,39,8,32,85,46,49,60,89,72,24,5,58,11,69,0,0,1,1,0,1,1,0,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,
33,deudor comercial,Comercial,Segmento A,Segmento B,Region 3,Zona 2,0,0,1,0,1,1,1,0,1,0,0,59,Malo,Bueno,F,1,Federacion,0,53,80,10,74,86,66,37,13,55,6,11,19,65,29,0,0,1,0,0,0,1,1,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
34,deudor no comercial,Comercial,Segmento A,Segmento B,Region 3,Zona 3,0,1,1,0,0,0,1,1,0,1,0,36,Malo,Regular,M,1,Cooperativas,47,65,97,49,93,70,55,59,28,7,23,86,48,66,51,0,0,1,1,0,0,1,1,1,Malo,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
35,Microempresas,Turismo,Segmento B,Segmento C,Region 1,Zona 1,0,0,1,0,1,0,1,0,1,0,0,73,Malo,Malo,F,1,Sociedad,26,9,20,45,61,58,42,58,62,87,51,18,48,12,75,0,1,1,0,1,1,0,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
36,Microempresas,Comercial,Segmento C,Segmento A,Region 2,Zona 2,0,1,1,0,0,0,0,1,0,0,0,70,Malo,Regular,M,2,Sociedad,40,0,36,1,21,39,69,43,56,60,27,57,3,54,62,1,1,1,0,0,0,1,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,SI,RED SUCURSALES
37,deudor no comercial,Transporte,Segmento C,Segmento A,Region 3,Zona 1,1,1,0,0,0,0,0,0,0,1,0,63,Bueno,Regular,M,2,Sindicatos,86,89,47,44,38,60,11,87,35,2,27,83,91,23,61,1,0,1,1,1,0,0,0,1,Excelente,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
38,deudor no comercial,Comercial,Segmento C,Segmento C,Region 3,Zona 3,1,0,0,1,0,1,0,1,1,1,1,65,Malo,Malo,F,1,Sociedad,9,89,8,75,80,95,52,97,64,51,96,74,44,95,93,0,1,1,0,0,1,0,1,1,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,SI,
39,deudor comercial,Transporte,Segmento C,Segmento C,Region 2,Zona 1,1,0,0,0,0,1,1,1,1,0,1,33,Regular,Bueno,M,2,Sociedad,1,46,75,7,32,84,25,63,83,37,0,48,89,52,81,0,1,0,1,1,0,0,0,1,Excelente,NO SUJETO DE CREDITO,[3]Baja_Propension,Castigado o Sin Producto,SI,RED SUCURSALES
40,Microempresas,Comercial,Segmento C,Segmento B,Region 1,Zona 1,0,1,0,1,1,1,1,0,0,0,0,65,Bueno,Regular,M,1,Cooperativas,35,37,87,12,99,71,23,4,57,21,40,86,29,9,62,0,1,1,0,1,1,0,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
41,Microempresas,Comercial,Segmento C,Segmento B,Region 3,Zona 1,0,1,0,0,1,1,1,0,1,0,0,40,Bueno,Malo,M,2,SPA,89,40,85,32,43,92,84,26,86,64,86,90,41,75,33,0,0,0,1,0,1,1,1,0,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente No Financiado,SI,SALESFORCE - CCL
42,deudor no comercial,Turismo,Segmento B,Segmento A,Region 1,Zona 3,1,0,1,0,0,1,1,0,1,0,0,59,Malo,Bueno,M,2,Sociedad,57,7,85,47,39,98,51,12,49,99,88,71,69,46,54,0,1,0,0,0,1,1,1,0,Malo,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,RED SUCURSALES
43,Microempresas,Transporte,Segmento B,Segmento C,Region 2,Zona 2,0,1,1,1,0,0,1,0,1,1,1,37,Regular,Bueno,M,1,Sociedad,21,33,72,66,26,82,38,48,82,51,83,7,37,8,89,0,0,1,1,0,0,1,0,1,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
44,deudor no comercial,Comercial,Segmento A,Segmento C,Region 2,Zona 3,1,0,1,0,1,1,1,1,0,1,1,42,Bueno,Regular,M,1,Sindicatos,18,64,27,69,17,85,65,83,53,61,32,64,6,82,81,1,0,0,1,1,1,1,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
45,deudor comercial,Transporte,Segmento B,Segmento A,Region 3,Zona 2,0,0,0,0,0,0,1,0,0,0,0,30,Bueno,Bueno,F,2,Sociedad,36,23,7,66,2,38,24,11,65,19,44,4,31,6,81,0,0,0,0,0,0,1,1,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,
46,deudor comercial,Turismo,Segmento A,Segmento C,Region 2,Zona 2,1,1,0,0,1,0,0,0,0,1,1,74,Malo,Malo,F,2,Federacion,49,22,49,85,15,40,70,70,94,97,82,25,60,78,16,1,0,0,0,1,1,1,0,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
47,deudor comercial,Turismo,Segmento A,Segmento B,Region 1,Zona 3,0,1,0,1,1,1,0,0,0,0,1,69,Regular,Malo,F,2,Sociedad,13,11,28,35,48,24,47,88,13,10,7,38,76,56,90,1,1,1,0,0,1,0,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,RED SUCURSALES
48,deudor no comercial,Turismo,Segmento C,Segmento C,Region 1,Zona 2,1,1,0,1,1,0,0,0,1,0,0,31,Regular,Regular,F,1,Sociedad,35,9,31,35,69,92,20,3,93,95,16,86,61,70,35,0,0,1,0,0,0,1,0,1,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,
49,deudor no comercial,Turismo,Segmento A,Segmento A,Region 3,Zona 2,1,1,1,1,1,1,0,1,0,1,1,44,Bueno,Malo,M,1,Sociedad,38,29,18,46,51,44,89,97,75,24,5,27,13,50,6,1,1,1,1,1,1,1,1,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
50,deudor no comercial,Transporte,Segmento C,Segmento A,Region 2,Zona 3,0,0,0,0,0,0,0,1,0,1,0,44,Regular,Regular,F,2,Sindicatos,89,5,86,60,15,34,89,25,11,72,89,64,68,10,5,1,1,0,0,1,1,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,SI,
51,deudor comercial,Transporte,Segmento A,Segmento A,Region 2,Zona 1,0,0,1,1,0,0,1,1,1,1,1,43,Regular,Malo,M,2,Cooperativas,91,23,53,97,18,16,52,29,78,98,78,83,9,27,4,1,1,1,1,0,0,0,1,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
52,Microempresas,Transporte,Segmento B,Segmento C,Region 3,Zona 3,0,1,1,1,1,0,0,0,0,0,1,68,Bueno,Bueno,M,1,Cooperativas,49,13,93,3,75,31,75,44,35,39,88,37,22,25,37,0,1,0,0,0,1,1,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
53,Microempresas,Turismo,Segmento A,Segmento B,Region 3,Zona 3,0,1,1,0,1,0,1,1,1,0,0,45,Regular,Malo,F,2,Federacion,71,40,9,20,38,87,80,41,73,9,89,40,2,36,22,1,1,0,1,0,0,0,1,1,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
54,deudor no comercial,Comercial,Segmento C,Segmento A,Region 3,Zona 3,1,1,0,0,1,0,0,0,0,0,0,65,Regular,Regular,F,1,Sindicatos,53,80,87,19,92,73,98,88,82,52,81,88,64,93,12,0,1,0,0,0,0,0,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
55,deudor no comercial,Comercial,Segmento A,Segmento A,Region 3,Zona 2,0,0,0,0,0,1,1,1,0,1,0,57,Bueno,Bueno,M,2,Sociedad,97,55,93,21,10,29,90,75,62,53,10,30,51,73,96,0,1,0,0,1,0,1,0,1,Bueno,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente No Financiado,NO,
56,Microempresas,Comercial,Segmento B,Segmento C,Region 3,Zona 2,0,0,1,0,0,1,0,1,0,0,0,39,Malo,Malo,M,1,Sindicatos,59,86,66,46,92,29,71,49,3,68,84,92,70,64,51,0,0,1,0,1,1,1,1,0,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
57,deudor no comercial,Turismo,Segmento A,Segmento A,Region 3,Zona 1,0,0,1,1,1,0,1,1,0,0,0,30,Malo,Regular,F,1,Cooperativas,45,77,52,26,0,80,67,50,76,35,59,80,69,28,47,1,0,1,1,1,1,1,1,0,Excelente,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
58,deudor no comercial,Comercial,Segmento A,Segmento A,Region 2,Zona 3,1,1,0,1,0,0,0,0,0,0,0,74,Regular,Malo,F,2,Sindicatos,98,30,91,76,74,52,17,60,73,72,4,96,36,17,94,1,0,1,1,0,0,1,1,0,Malo,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,NO,RED SUCURSALES
59,deudor no comercial,Turismo,Segmento B,Segmento A,Region 3,Zona 1,1,0,1,0,0,0,0,0,0,0,0,27,Bueno,Regular,M,2,SPA,16,86,75,80,23,64,82,64,48,65,93,89,31,81,78,0,1,1,0,0,0,1,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,SI,
60,deudor comercial,Transporte,Segmento B,Segmento B,Region 3,Zona 1,1,1,1,0,1,1,1,0,1,1,0,33,Malo,Regular,M,1,Cooperativas,56,21,0,23,88,1,57,59,32,20,53,41,35,55,72,0,0,1,1,0,1,0,0,1,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
61,Microempresas,Turismo,Segmento B,Segmento B,Region 2,Zona 1,1,0,1,1,1,0,0,1,0,0,0,44,Malo,Malo,M,2,Sindicatos,24,42,79,6,32,79,46,55,32,60,98,20,54,65,57,1,0,1,1,0,0,0,0,1,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,SI,
62,Microempresas,Turismo,Segmento C,Segmento B,Region 2,Zona 3,1,0,1,1,1,1,1,1,1,1,0,52,Regular,Regular,F,2,SPA,93,34,51,49,30,19,82,15,98,16,80,50,40,60,44,0,0,1,1,1,1,0,0,1,Excelente,NO SUJETO DE CREDITO,[3]Baja_Propension,Castigado o Sin Producto,SI,
63,Microempresas,Turismo,Segmento B,Segmento B,Region 3,Zona 2,0,1,1,0,0,0,0,1,0,1,1,36,Regular,Regular,F,2,Sociedad,21,8,6,87,20,49,73,24,22,93,44,34,24,48,77,1,1,0,1,0,1,0,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
64,deudor comercial,Turismo,Segmento C,Segmento A,Region 3,Zona 1,1,1,0,1,0,0,1,1,1,1,1,22,Malo,Regular,M,2,Federacion,44,4,72,56,72,46,89,30,89,75,74,78,4,62,91,0,1,0,1,1,0,1,1,1,Bueno,NO SUJETO DE CREDITO,[1]Alta_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
65,Microempresas,Turismo,Segmento B,Segmento C,Region 3,Zona 1,0,0,1,0,1,0,1,0,0,0,0,18,Malo,Regular,F,2,Sindicatos,21,1,90,0,11,98,34,32,47,62,70,54,47,7,38,0,1,1,1,0,0,1,0,1,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
66,deudor no comercial,Turismo,Segmento C,Segmento C,Region 3,Zona 2,0,0,1,0,0,1,0,0,0,1,1,44,Regular,Malo,M,2,SPA,15,71,13,28,71,10,5,5,63,85,44,9,83,30,33,1,0,1,1,1,0,1,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
67,Microempresas,Transporte,Segmento C,Segmento A,Region 1,Zona 1,0,1,0,0,1,0,1,1,0,0,1,56,Regular,Malo,M,1,Sociedad,81,81,99,42,21,50,57,5,22,62,32,48,6,95,52,1,0,1,1,0,1,1,0,1,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,
68,Microempresas,Transporte,Segmento B,Segmento C,Region 3,Zona 1,1,1,1,0,1,1,1,0,0,0,1,25,Regular,Malo,F,1,Cooperativas,15,97,39,75,73,79,81,56,73,19,34,47,28,63,91,1,0,1,0,0,1,0,0,1,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
69,deudor comercial,Turismo,Segmento C,Segmento C,Region 3,Zona 2,0,1,1,1,1,0,1,1,1,0,1,42,Bueno,Bueno,F,1,Sociedad,83,83,71,68,74,32,24,14,24,8,16,41,69,35,88,0,1,0,1,1,1,1,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,SI,SALESFORCE -WEB
